artist_album,year,cluster
Fred Anderson Another Place,1978,0
Guenter Hampel Freedom Of The Universe,1978,0
Dewey Redman Soundsigns,1978,0
Misha Mengelberg Pech Onderweg,1978,0
Max Roach & Anthony Braxton Birth And Rebirth,1978,2
Chico Freeman The Outside Within,1978,10
Egberto Gismondi Solo,1978,0
Rova Saxophone Quartet Removal of Secrecy,1979,0
Lesli Dalaba Trumpet Songs And Dances,1979,0
Anthony Braxton Alto Saxophone Improvisations,1979,7
Dollar Brand African Marketplace,1979,1
Martial Solal Four Keys,1979,12
Terje Rypdal Descendre,1979,17
Jack DeJohnette Special Edition,1979,10
Andrew Cyrille Nuba,1979,1
James Newton Mystery School,1979,0
Art Pepper Straight Life,1979,15
Anthony Davis Hidden Voices,1979,1
Errol Parker Doodles,1979,0
Niels-Henning Orsted Pedersen Dancing On The Tables,1979,2
Amina Claudine Myers Song For Mother Earth,1979,0
George Lewis Homage to Charles Parker,1979,7
Paul Motian Le Voyage,1979,6
Bunky Green Places We've Never Been,1979,0
John Surman Upon Reflection,1979,12
Joseph Jarman Magic Triangle,1979,1
Max Roach & Anthony Braxton One in Two,1979,2
Woody Shaw Woody III,1979,10
Max Roach Pictures In A Frame,1979,0
Ralph Towner Solo Concert,1979,6
Kenny Wheeler Around 6,1979,6
Billy Bang Distinction Without A Difference,1979,0
Cecil McBee Alternate Spaces,1979,6
Fred Anderson Dark Day,1979,1
Al DiMeola Splendido Hotel,1979,8
String Trio Of New York First String,1979,0
Pat Metheny American Garage,1979,17
Billy Bang Sweet Space,1979,0
Paul Lytton The Inclined Stick,1979,0
Warren Vache Polished Brass,1979,0
Eberhard Weber Fluid Rustle,1979,3
Guenter Christmann Weavers,1979,0
Egberto Gismondi Danca Das Escravos,1979,0
Anthony Davis Lady of the Mirrors,1980,0
Rova Saxophone Quartet Invisible Frames,1980,0
Om Cerberus,1980,0
Pat Metheny As Falls Wichita So Falls Wichita,1980,17
Billy Bang Changing Seasons,1980,0
Charles Noyes Free Mammals,1980,0
Pat Metheny 1980-1981,1980,12
Steve Tibbetts YR,1980,3
World Saxophone Quartet WSQ,1980,0
David Murray Ming,1980,1
Ganelin Trio Ancora Da Capo,1980,7
Joanne Brackeen Ancient Dynasty,1980,0
Ran Blake Film Noir,1980,0
Muhal Richard Abrams Mama and Daddy,1980,1
Derek Bailey Aida,1980,5
Evan Parker Six of One,1980,5
Steps Ahead Step By Step,1980,24
Steve Beresford Double indemnity,1980,0
Music Revelation Ensemble No Wave,1980,16
Jan Garbarek Eventyr,1980,6
David Liebman If They Only Knew,1980,21
Tom Varner Quartet,1980,6
Harvie Swartz Underneath It All,1980,0
Paul Winter Callings,1980,0
World Saxophone Quartet Revue,1980,0
James Ulmer Are You Glad To Be In America,1980,0
Kazumi Watanabe To Chi Ka,1980,17
Chico Freeman Peaceful Heart Gentle Spirit,1980,0
Jack DeJohnette Tin Can Alley,1980,6
Jay Clayton All Out,1980,10
Ronald Shannon Jackson Eye on You,1980,0
Art Pepper Winter Moon,1980,15
Julius Hemphill Flat Out Jump Suite,1980,0
Anthony Davis Episteme,1981,5
Joe McPhee Topology,1981,7
Paul Motian Psalm,1981,6
Rova Saxophone Quartet As Was,1981,1
Marilyn Crispell Spirit Music,1981,0
MUhal Richard Abrams Blues Forever,1981,6
Henry Kaiser Aloha,1981,0
Sergey Kuryokhin The Ways of Freedom,1981,0
David Moss Terrain,1981,0
David Murray Home,1981,10
Frank Lowe Skizoke,1981,0
Willem Breuker In Holland,1981,7
Ronald Shannon Jackson Nasty,1981,0
Billy Bang Rainbow Gladiator,1981,1
Don Moye Black Paladins,1981,0
Frederic Hand Heart's Song,1981,13
Jaco Pastorius Word of Mouth,1981,8
Joanne Brackeen Special Identity,1981,6
Hal Russell NRG Ensemble,1981,1
Marvin Peterson The Angels of Atlanta,1981,9
Jan Garbarek Paths Prints,1981,6
Oscar Peterson Nigerian Marketplace,1981,2
Saheb Sarbib Aisha,1981,0
Ronald Shannon Jackson Street Priest,1981,6
Steve Douglas Rainbow Suite,1981,14
Steve Khan Eyewitness,1981,3
Wynton Marsalis Wynton Marsalis,1981,18
Keith Tippett Mujician,1981,0
Anthony Davis Variations In Dream-time,1982,0
Henry Threadgill When Was That,1982,6
Air 80 Degrees Below,1982,7
Billy Bang Outline No 12,1982,7
Dave Holland Life Cycle,1982,1
David Murray Murray's Steps,1982,6
Jane Ira Bloom Mighty Lights,1982,6
Lol Coxhill Instant Replay,1982,5
Dewey Redman The Struggle Continues,1982,12
Steve Lacy Flame,1982,1
Elements Elements,1982,0
Errol Parker Tentet,1982,0
James Ulmer Black Rock,1982,0
Joe McPhee Oleo,1982,1
John Carter Dauwhe,1982,1
Sonny Simmons Backwoods Suite,1982,0
Steps Ahead Paradox,1982,24
Tony Coe Tournee Du Chat,1982,0
Ronald Shannon Jackson Mandance,1982,8
Warren Vache Midtown Jazz,1982,0
Paul Winter Missa Gaia,1982,0
Cecil McBee Flying Out,1982,0
Shadowfax Shadowfax,1982,17
Jack DeJohnette Inflation Blues,1982,6
Stanley Jordan Touch Sensitive,1982,0
Kevin Eubanks Guitarist,1982,6
Derek Bailey Epiphany,1982,5
Borbetomagus Barbed Wire Maggot,1983,0
Anthony Davis Hemispheres,1983,5
Terje Rypdal Eos,1983,5
Don Pullen Evidence of Things Unseen,1983,1
James Newton Luella,1983,3
Marilyn Crispell Rhythms Hung in Undrawn Sky,1983,0
Ganelin Trio Semplice,1983,5
Microscopic Septet Take the Z Train,1983,6
MUhal Richard Abrams Rejoicing with Light,1983,1
Tim Berne Mutant Variations,1983,1
Steps Ahead Steps Ahead,1983,3
Dollar Brand Ekaya,1983,0
Jamaaladeen Tacuma Show Stopper,1983,8
Paul Motian The Story Of Maryam,1983,6
Joachim Kuhn I'm Not Dreaming,1983,0
Kenny Wheeler Double Double You,1983,6
Lakshiminarayana Subramaniam Spanish Wave,1983,0
Roger Neumann Introducing Rather Large Band,1983,0
Dave Holland Jumpin' In,1983,6
Henry Threadgill Just the Facts,1983,6
George Russell So What,1983,3
Bobby Shew Breakfast Wine,1983,0
Bob Wasserman Solo,1983,23
Joe McPhee Visitation,1983,1
Bobby Watson Jewel,1983,6
Branford Marsalis Scenes In The City,1983,18
Ronald Shannon Jackson Barbeque Dog,1983,6
Shadowfax Shadowdance,1983,3
John Zorn Locus Solus,1984,10
Geri Allen Printmakers,1984,6
Steps Ahead Modern Times,1984,12
Oliver Lake Expandable Language,1984,5
Henry Threadgill Subject To Change,1984,0
Hal Russell Conserving NRG,1984,1
Microscopic Septet Let's Flip,1984,0
Joachim Kuhn Distance,1984,0
Henry Kaiser Invite The Spirit,1984,5
Mark Helias Split Image,1984,0
Hilton Ruiz Crosscurrents,1984,0
Paul Motian It Should've Happened A Long Time Ago,1984,6
Keith Tippett A Loose Kite In A Gentle Wind,1984,7
Dave Holland Seeds of Time,1984,6
James Williams Alter Ego,1984,0
Andy Laverne Liquid Silver,1984,0
Bobby McFerrin The Voice,1984,6
Butch Morris Current Trends In Racism,1985,5
Bobby Previte Bump The Renaissance,1985,6
George Russell The African Game,1985,1
Rova Saxophone Quartet Crowd,1985,1
Lyle Mays Lyle Mays,1985,6
David Liebman The Loneliness Of A Long-Distance Runner,1985,5
James Newton Water Mystery,1985,0
Hank Robertson Transparency,1985,0
David Torn Best Laid Plans,1985,3
Borbetomagus Borbeto Jam,1985,0
Mark Nauseef Wun Wun,1985,6
Kip Hanrahan Vertical Currency,1985,3
Patrick O'Hearn Ancient Dreams,1985,0
Don Pullen Sixth Sense,1985,0
John Carter Castles of Ghana,1985,0
Gerry Hemingway Outerbridge Crossing,1985,6
Leni Stern Clairvoyant,1985,0
Marc Johnson Bass Desires,1985,17
Terje Rypdal Chasers,1985,6
Tom Harrell Moon Alley,1985,0
Wynton Marsalis Black Codes,1985,11
Wynton Marsalis J Mood,1985,6
Paul Winter Canyon,1985,0
Tony Williams Civilization,1985,8
Michael Mantler Alien,1985,6
Herbie Hancock Village Life,1985,3
Manhattan Transfer Vocalese,1985,0
John Zorn Cobra,1986,5
Evan Parker Atlanta,1986,7
ICP Orchestra Bospaadje Konijnehol I,1986,0
Steve Coleman On the Edge Of Tomorrow,1986,1
Steve Lacy Outings,1986,0
Jim Staley Mumbo Jumbo,1986,7
James Newton Romance and Revolution,1986,0
Tim Berne Fulton Street Maul,1986,7
Cecil Taylor For Olim,1986,7
Last Exit Last Exit,1986,0
Michael Shrieve In Suspect Terrain,1986,0
Kazumi Watanabe Spice Of Life,1986,3
Ned Rothenberg Trespass ,1986,0
Sonny Sharrock Guitar,1986,7
Evan Parker The Snake Decides,1986,5
Courtney Pine Journey to the Urge Within,1986,6
Henry Threadgill You Know the Number,1986,0
Last Exit Koln,1986,1
John Carter Dance of Love Ghosts,1986,6
Kenny G Duotones,1986,0
Reggie Workman Synthesis,1986,10
Ran Blake Short Life of Barbara Monk,1986,0
Bobby Watson Love Remains,1986,0
Christy Doran Red Twist and Tuned Arrow,1986,1
Arturo Sandoval Tumbaito,1986,0
Henry Threadgill Easily Slip Into Another World,1987,6
Anthony Davis Undine,1987,6
Steve Lacy Momentum,1987,1
John Zorn Spillane,1987,0
Hank Roberts Black Pastels,1987,17
Marilyn Crispell Labyrinths,1987,1
Guy Klucevsek Scenes From A Mirage,1987,0
David Torn Cloud About Mercury,1987,6
"Bobby Previte Dull Bang, Gushing Sound, Human Shriek",1987,0
Tim Berne Sanctified Dreams,1987,1
Borbetomagus Fish That Sparkling Bubble,1987,1
Marty Ehrlich Pliant Plaint,1987,6
Benny Carter Central City Sketches,1987,13
Bobby Previte Pushing The Envelope,1987,6
Phil Woods Bouquet,1987,0
Danny Gottlieb Aquamarine,1987,8
Dave Holland Razor's Edge,1987,6
Elements Illumination,1987,0
Henry Kaiser Crazy-backwards Alphabet,1987,5
Henry Kaiser Devil In The Drain,1987,0
Kenny Wheeler Flutter By Butterfly,1987,6
Mark Helias The Current Set,1987,6
Michael Brecker Michael Brecker,1987,12
Montreaux Sign Language,1987,0
Sonny Sharrock Seize the Rainbow,1987,10
Mulgrew Miller Wingspan,1987,0
Neil Swainson 49th Parallel,1987,0
Earthworks Earthworks,1987,0
Bill Frisell Before We Were Born,1988,6
Henry Threadgill Rag Bush And All,1988,6
Turtle Island String Quartet Turtle Island String Quartet,1988,0
Lyle Mays Street Dreams,1988,3
Dave Holland Triplicate,1988,6
Jackie McLean Dynasty,1988,0
John Carter Fields,1988,1
Leni Stern Secrets,1988,17
Microscopic Septet Beauty Based on Science,1988,0
Music Revelation Ensemble Music Revelation Ensemble,1988,6
Willem Breuker Psalm 122,1988,0
Steve Turre Fire and Ice,1988,0
Trilok Gurtu Usfret,1988,3
Bobby Previte Claude's Late Morning,1988,6
Bill Frisell Lookout for Hope,1988,6
Misha Mengelberg Impromptus,1988,0
Marcus Roberts Truth is Spoken Here,1988,12
David Ware Passage To Music,1988,1
David Liebman Trio + One,1988,6
Freddie Hubbard Stardust,1988,4
Gary Thomas Code Violations,1988,17
Hilton Ruiz El Camino,1988,0
Phil Woods Evolution,1988,0
Ralph Moore Rejuvinate,1988,0
Marty Ehrlich Traveller's Tale,1989,0
Tim Berne Fractured Fairy Tales,1989,6
Joe Maneri Kalavinka,1989,0
Joe Lovano Worlds,1989,0
Nimal Nimal,1989,0
John Oswald Plunderphonics,1989,0
Michael Shrieve Stiletto,1989,6
Dave Holland Extensions,1989,6
Andrew Hill Eternal Spirit,1989,0
Christy Doran Phoenix,1989,0
Henry Kaiser Re-Marrying For Money,1989,0
Michael Shrieve Big Picture,1989,0
MUhal Richard Abrams Hearinga Suite,1989,0
Don Pullen Song Everlasting,1989,0
Fred Hersh Heartsongs,1989,0
Geri Allen Twylight,1989,0
John Zorn Naked City,1989,1
Leni Stern Closer To The Light,1989,0
Ganelin Trio Cantabile,1989,0
Marty Fogel Many Bobbing Heads,1989,8
London Jazz Composers' Orchestra Harmos,1989,0
Montreaux Let Them Say,1989,0
No Safety This Lost Leg,1989,0
John Carter Shadows on a Wall,1989,6
Ralph Peterson Triangular,1989,0
Ray Anderson Blues Bred,1989,6
Evan Parker Conic Sections,1989,5
Dewey Redman Living on the Edge,1989,1
Charles Earland Third Degree Burn,1989,0
John Scofield Time on my Hands,1989,2
Roy Hargrove Diamond In The Rough,1989,4
Tom Harrell Sail Away,1989,0
Tommy Flanagan Jazz Poet,1989,0
King Ubu Orchestru Binaurality,1992,0
Jane Ira Bloom Art & Aviation,1992,0
Maria Schneider Evanescence,1992,6
Geri Allen Maroons,1992,0
Wynton Marsalis Citi Movement,1992,0
Joe Lovano Universal Language,1992,0
Terence Blanchard The Malcolm X Jazz Suite,1992,0
Sergey Kuryokhin Some Combination of Fingers and Passion,1992,0
Medeski Martin and Wood Notes From the Underground,1992,10
Courtney Pine To The Eyes Of Creation,1992,6
Hank Roberts Little Motor People,1992,5
Zeena Parkins Ursa's Door,1992,0
Steve Turre Sanctified Shells,1992,0
Charles Gayle Repent,1992,0
Michael Formanek Loose Cannon,1992,0
Franz Koglmann L'Heure Bleue,1992,1
Bill Frisell Have a Little Faith,1992,6
Michael Mantler Folly Seeing All This,1992,0
Bill Frisell This Land,1992,15
Kenny Wheeler Kayak,1992,0
Aydin Esen Anadolu,1992,0
Christy Doran Corporate Art,1992,0
Hal Russell Bells,1992,1
Joachim Kuhn Dynamics,1992,0
John Scofield What We Do,1992,6
Mulgrew Miller Hand In Hand,1992,0
Paul Plimley When Silence Pulls,1992,0
Ray Anderson Every One of Us,1992,13
Uri Caine Sphere Music,1992,6
Sonny Simmons Ancient Ritual,1992,5
Franz Koglmann The Use of Memory,1990,0
Don Pullen Random Thoughts,1990,0
Gerry Hemingway Special Detail,1990,0
Michael Formanek Wide Open Spaces,1990,6
Geri Allen Nurturer,1990,0
Marty Ehrlich Emergency Peace,1990,0
Marilyn Crispell Overlapping Hands,1990,0
David Ware Great Bliss,1990,0
Charlie Haden Dream Keeper,1990,6
Bobby Previte Empty Suits,1990,6
Butch Morris Dust To Dust,1990,0
Jazz Passengers Implement Yourself,1990,0
Myra Melford Jump,1990,1
Danny Gottlieb Brooklyn Blues,1990,0
Mark Helias Attack the Future,1990,0
David Liebman The Tree,1990,6
Elements Spirit River,1990,15
Hank Roberts Birds Of Prey,1990,6
Music Revelation Ensemble Elec Jazz,1990,6
Kenny Wheeler Music for Large and Small Ensemble,1990,0
Bill Frisell Is That You,1990,0
ICP Orchestra Bospaadje Konijnehol II,1990,0
Phil Woods All Bird's Children,1990,13
Philip Catherine I Remember You,1990,0
Ray Anderson What Because,1990,6
MUhal Richard Abrams Blu Blu Blu,1990,0
Gerry Hemingway Down To The Wire,1990,0
Terence Blanchard Terence Blanchard,1990,6
Tom Harrell Form,1990,0
Yellowjackets Green House,1990,22
Kenny Wheeler Widow in the Window,1990,6
Egberto Gismondi Infancia,1990,0
Keith Tippett The Journey,1990,0
Matthew Shipp Circular Temple,1990,1
Steve Lacy Remains,1991,0
Wayne Horvitz Bring Your Camera,1991,0
John Butcher Thirteen Friendly Numbers,1991,0
Guy Klucevsek Flying Vegetables of the Apocalypse,1991,0
Michael Formanek Extended Animation,1991,6
Randy Weston Spirits Of Our Ancestors,1991,0
Bill Frisell Where in the World,1991,0
Don Byron Tuskegee Experiments,1991,6
Marilyn Crispell Images,1991,1
Bobby Previte Weather Clear Track Fast,1991,0
Music Revelation Ensemble After Dark,1991,0
Sonny Sharrock Ask the Ages,1991,1
Steve Coleman Black Science,1991,6
Joe Lovano From the Soul,1991,6
David Sanborn Another Hand,1991,6
David Ware Flight Of I,1991,1
Don Pullen Kele Mou Bana,1991,0
Terje Rypdal Q.E.D.,1991,0
Jackie McLean Rites of Passage,1991,11
Joanne Brackeen Is It Really True,1991,0
John Scofield Grace Under Pressure,1991,6
John Patitucci Heart Of The Bass,1991,0
Keith Jarrett Vienna Concert,1991,0
Julius Hemphill Fat Man And the Hard Blues,1991,0
London Jazz Composers' Orchestra Theoria,1991,0
Wynton Marsalis Blue Interlude,1991,2
Marty Ehrlich Side by Side,1991,6
Tim Berne Can't Put My Finger On It,1991,6
Joanne Brackeen Where Legends Dwell,1991,0
Joey Baron Tongue in Groove,1991,6
Max Roach To the Max,1991,0
Robert Dick Venturi Shadows,1991,0
Freddie Hubbard Temptation,1991,0
Fred Hersh Forward motion,1991,0
Steve Swallow Swallow,1991,6
Marcus Roberts As Serenity Approaches,1991,0
Steve Turre Right There,1991,6
Trilok Gurtu Living Magic,1991,0
Branford Marsalis The Beautiful Ones Are Not Yet Born,1991,15
Christy Doran What a Band,1991,0
Franz Koglmann Cantos I-IV,1993,0
Bill Dixon Vade Mecum,1993,0
Marilyn Crispell Santuerio,1993,0
George Lewis Voyager,1993,0
Matthew Shipp Prism,1993,1
Zeena Parkins Isabelle,1993,0
Bobby Previte Hue And Cry,1993,0
Marty Ehrlich Can You Hear A Motion,1993,0
Music Revelation Ensemble In The Name Of,1993,6
Henry Threadgill Too Much Sugar For a Dime,1993,0
Dave Douglas Parallel Worlds,1993,0
Wynton Marsalis In This House On This Morning,1993,0
Ken Vandermark Big Head Eddie,1993,0
Charles Gayle Consecration,1993,0
Greg Osby 3D Lifestyles,1993,0
Mulgrew Miller With Our Own Eyes,1993,0
John Scofield Hand Jive,1993,6
Steve Coleman Tao of Mad Phat,1993,0
James Ulmer Harmolodic Guitar with Strings,1993,0
Irene Schweizer Les Diaboliques,1993,0
Evan Parker Synergetics - Phonomanie III,1993,0
David Liebman The Seasons,1993,0
Joe Maneri Dahabenzapple,1993,0
Joey Baron Raised Pleasure Dot,1993,0
Cecil Taylor Always A Pleasure,1993,0
Charlie Hunter Trio,1993,6
Gerry Hemingway Demon Chaser,1993,5
Jessica Williams Next Step,1993,0
Roger Neumann Instant Heat,1993,0
Yosuke Yamashita Kurdish Dance,1993,0
Tom Harrell Upswing,1993,0
Ray Anderson Big Band Record,1993,0
Arturo Sandoval Danzon,1993,0
Myra Melford Even the Sounds Shine,1994,6
Toshiko Akiyoshi Desert Lady,1994,0
Matthew Shipp Critical Mass,1994,0
David Ware Cryptology,1994,0
Henry Threadgill Carry The Day,1994,0
Ken Vandermark Solid Action,1994,0
Steve Coleman Def Trance Beat,1994,6
Misha Mengelberg Mix,1994,0
Bobby Previte Slay The Suitors,1994,0
Joshua Redman Moodswing,1994,6
Franklin Kiermyer Solomon's Daughter,1994,7
Mark Helias Loopin' the Cool,1994,10
Jessica Williams Momentum,1994,0
Butch Morris Testament,1995,0
Dave Douglas In Our Lifetime,1995,0
Matthew Shipp The Flow of X,1995,0
Charlie Hunter Bing Bing Bing,1995,0
Marvin Peterson African Portraits,1995,0
Guy Klucevsek Citrus My Love,1995,0
Marty Ehrlich Just Before The Dawn,1995,0
Matthew Shipp Symbol Systems,1995,0
Gerry Hemingway Marmalade King,1995,0
Steve Turre Rhythm Within,1995,0
Medeski Martin and Wood Friday Afternoon In The Universe,1995,0
Reggie Workman Cerebral Caverns,1995,0
MUhal Richard Abrams One Line Two Views,1995,0
Dave Douglas Five,1995,0
Bill Frisell Go West,1995,0
David Ware Dao,1995,0
Henry Threadgill Makin' a Move,1995,0
Dave Holland Dream of the Elders,1995,0
David Ware Oblations and Blessings,1995,0
Paul Plimley Everything in Stage,1995,0
Matthew Shipp Before the World,1995,0
Don Byron Music for Six Musicians,1995,6
Uri Caine Toys,1995,6
Guillermo Gregorio Approximately,1996,0
"Ivo Perelman Seeds, Visions and Counterpoint",1996,0
Michael Formanek Nature of the Beast,1996,0
David Ware Wisdom of Uncertainty,1996,0
Maria Schneider Coming About,1996,6
Zeena Parkins Mouth=Maul=Betrayer,1996,0
Kenny Wheeler Siren's Song,1996,6
Gerry Hemingway Perfect World,1996,0
Matthew Shipp By the Law of Music,1996,1
Ivo Perelman Sound Hiearchy,1996,0
Bob Neill Triptycal,1996,0
Courtney Pine Modern Day Jazz Stories,1996,0
Joshua Redman Freedom In The Groove,1996,15
Branford Marsalis The Dark Keys,1996,0
Henry Threadgill Where's Your Cup,1996,0
Evan Parker Toward the Margins,1996,0
Guillermo Gregorio Ellipsis,1997,0
Matthew Shipp Strata,1997,0
Steve Coleman Genesis,1997,0
Marcus Roberts Blues for the New Millennium,1997,0
ICP Orchestra Jubilee Varia,1997,7
Tim Berne Insomnia,1997,0
Vandermark 5 Single Piece Flow,1997,0
David Liebman Time Immemorial,1997,0
Wynton Marsalis Blood on the Fields,1997,0
Franz Koglmann O Moon My Pin Up,1997,1
Courtney Pine Underground,1997,6
Leo Smith Golden Hearts Remembrance,1997,0
Keith Tippett Colours Fulfilled,1997,0
Joe Lovano Trio Fascination,1997,6
David Liebman The Elements - Water,1997,0
Dave Douglas Convergence,1998,0
Guillermo Gregorio Background Music,1998,0
Paul Plimley Sensology,1998,0
Vandermark 5 Target Dr Flag,1998,0
Zeena Parkins Pan-Acousticon,1998,0
Evan Parker Drawn Inward,1998,0
Dave Holland Points of View,1998,0
Jane Ira Bloom The Red Quartets,1999,0
Steve Coleman The Sonic Language of Myth - Believing Learning Knowing,1999,6
Marty Ehrlich Malinke's Dance,1999,6
Bill Dixon Papyrus I,1999,0
Guillermo Gregorio Red Cubed,1999,0
Paul Dunmall Bebop Starburst,1999,0
Matthew Shipp Expansion Power Release,1999,0
Misha Mengelberg Solo,1999,5
Marilyn Crispell Red,1999,0
Nels Cline The Inkling,1999,0
Marilyn Crispell Blue,1999,0
Evan Parker After Appleby,1999,0
Joshua Redman Beyond,1999,6
Maybe Monday Saturn's Finger,1999,0
Branford Marsalis Contemporary Jazz,1999,18
Terence Blanchard Wandering Moon,1999,0
"Richard Lee Johnson Fingertip Ship (Metro Blue, 1999)",1999,0
Spring Heel Jack Disappeared,2000,0
Guillermo Gregorio Faktura,2000,0
Joe Maneri Going To Church,2000,0
Myra Melford Dance Beyond the Color,2000,0
Andrew Hill Dusk,2000,0
Dave Douglas El Trilogy,2000,19
Denman Maroney Fluxations,2001,0
Supersilent 5 (Rune Grammofon),2001,5
Paul Dunmall The Great Divide (Cuneiform),2001,0
John Butcher Fixations,2001,0
Ken Vandermark Territory Band Atlas (2001),2001,0
Wynton Marsalis All Rise,2001,0
Jason Moran Black Stars,2001,0
Bob Belden Black Dahlia,2001,0
Sven Ake Johansson Six Little Pieces for Quintet,2001,0
Matthew Shipp New Orbit (2001),2001,0
Repeat Select Dialect,2001,0
Roy Campbell Ethnic Stew,2001,0
Henry Threadgill Everybody's Mouth's A Book,2001,0
Brad Mehldau Art of the Trio,2001,12
Triangles Triangles,2001,0
Pillow Three Henries,2001,0
Evan Parker/ Keith Rowe Dark Rags,2001,0
Peter Broetzmann Fuck DeBoere,2001,0
Matthew Shipp New Orbit,2001,0
William Parker O'Neal's Porch,2001,10
"Crispell, Peacock, Motian Amaryllis",2001,6
Tom Harrell Paradise,2001,0
Fred Hersch Songs Without Words,2001,0
Dave Douglas Witness,2001,6
David Ware Corridors & Parallels,2001,0
Keith Jarrett Whisper Not,2001,12
Jane Ira Bloom Chasing Paint,2002,0
Spring Heel Jack Amassed,2002,0
Marty Ehrlich The Long View,2002,0
Brad Mehidau Largo,2002,0
Marty Ehrlich The Long View (Enja),2002,0
Spring Heel Jack Amassed  (Thirsty Ear),2002,0
Jane Ira Bloom Chasing Paint (2002),2002,0
Nels Cline Instrumentals (Cryptogramophone),2002,0
Ken Vandermark Territory Band Map Theory (2002),2002,0
Claudia Quintet I,2002,6
Andrew Hill A Beautiful Day (Palmetto),2002,0
Brad Mehidau Largo (Warner),2002,0
Mujician Spacetime (Cuneiform),2002,0
Evan Parker Memory/Vision (2002),2002,0
Randy Weston Ancient Future (Mutablemusic),2002,0
Bobby Previte The 23 Constellations of Joan Miro (Tzadik),2002,0
David Ware Freedom Suite (Aum),2002,0
Keith Jarrett Always Let Me Go (ECM),2002,10
Roscoe Mitchell Song For my Sister (Pi),2002,0
Joe Zawinul Faces and Places (ESC),2002,3
Tim Berne Science Friction (Screwgun),2002,0
Tomasz Stanko Soul of Things (ECM),2002,0
Hamiet Bluiett Blueback (Justin Time),2002,0
Thomas Buckner Alone Together Apart (Mutablemusic),2002,0
Joshua Redman Elastic (Warner),2002,12
Bobby Previte The 23 Constellations (Tzadik),2002,0
Leo Smith The Year of the Elephant (Pi),2002,0
Bill Frisell The Willies (Nonesuch),2002,0
Randy Sandke Inside Out (Nagel),2002,0
Jason Moran Modernistic (Blue Note),2002,0
Dave Douglas The Infinite (RCA),2002,0
Paul Motian Holiday for Strings (Winter),2002,0
Abdullah Ibrahim African Symphony (Enja),2002,0
Franz Koglmann Fear Death By Water,2003,0
Ivo Perelman Suite for Helen F,2003,0
Franz Koglmann Fear Death By Water (2003),2003,0
Denman Maroney Fluxations (New World),2003,0
Ivo Perelman Suite for Helen F (2003),2003,0
Jason Moran The Bandwagon (Blue Note),2003,0
Hiromi Another Mind (Telarc),2003,3
Claudia Quintet I Claudia (Cuneiform),2003,0
Vijay Iyer Blood Sutra (Artists House),2003,0
Spring Heel Jack Live (Thirsty Ear),2003,0
Paul Rucker History of an Apology (Jackson Street),2003,0
Scott Rosenberg Creative Orchestra Music (New World),2003,0
David Ware Threads (Thirsty Ear),2003,0
Angelica Sanchez Mirror Me (Omnitone),2003,0
Robert Glasper Mood (Fresh Sound),2003,0
Bad Plus These Are The Vistas (Columbia),2003,6
Michael Brecker Wide Angles (2003),2003,12
Tord Gustavsen Changing Places (ECM),2003,6
Dave Douglas Freak In (Bluebird),2003,5
Andrew Hill Passing Ships (Blue Note),2003,1
Dave Holland Extended Play (ECM),2003,0
Nicholas Payton Sonic Trance (Warner),2003,6
Jetemy Pelt Close to My Heart (Maxjazz),2003,0
Gilad Atzmon Exile (Justin Time),2003,0
Wayne Shorter Alegria (Verve),2003,0
Paul Dunmall I Wish You Peace (Cuneiform),2004,0
Triosk Moment Returns (Leaf),2004,0
Yeah No Swell Henry (Squealer),2004,0
Jane Ira Bloom Like Silver Like Song (2004),2004,0
Ken Vandermark Territory Band Company Switch (2004),2004,0
Jan Garbarek In Praise of Dreams (ECM),2004,6
Django Bates You Live and Learn (Lost Marble),2004,0
Don Byron Ivey-Divey (Blue Note),2004,0
Evan Parker The Eleventh Hour (2004),2004,0
Geri Allen The Life of a Song (Telarc),2004,6
Dave Douglas Strange Liberation (Bluebird),2004,0
Diana Krall The Girl in the Other Room (Verve),2004,6
New Orchestra Entropy (2004),2004,0
Branford Marsalis Eternal (Marsalis),2004,0
Wynton Marsalis The Magic Hour (Blue Note),2004,6
Dave Douglas Mountain Passages,2005,10
Territory Band A New Horse for the White House (october 2005),2005,0
Acoustic Ladyland Last Chance Disco (Babel),2005,0
Dave Douglas Mountain Passages (Green Leaf),2005,0
Either/Orchestra Ethiopiques 20,2005,0
Keith Rowe The Room (Earstwhile),2005,0
Joe Lovano Joyous Encounter (Blue Note),2005,0
Vijay Iyer Reimagining (Savoy),2005,0
Ken Vandermark Alchemia (Not Two),2005,0
Alex Von Schlippenbach Monk's Casino (Intakt),2005,0
Michael Attias Renku (Playscape),2005,0
Edmund Welles Agrippa's 3 Books (Self-Released),2005,0
Free Music Ensemble Cuts (Okkadisk),2005,0
Mats Gustafsson Catapult (Doubt),2005,0
Wayne Shorter Beyond The Sound Barrier (Verve),2005,6
Terence Blanchard Flow (Blue Note),2005,4
Dave Holland Over Time (Dare2),2005,0
Charlie Haden Liberation Music Orchestra Not In Our Name (Verve),2005,0
Acoustic Ladyland Skinny Grinn (Babel),2006,0
Territory Band Collide (Okkadisc),2006,0
Kenny Garrett Beyond the Wall,2006,0
Tomasz Stanko Lontano,2006,6
Zeena Parkins Necklace,2006,0
Andrew Hill Time Lines,2006,0
Dave Holland Critical Mass,2006,24
Paul Motian Garden of Eden,2006,0
